OrderID,OrderDate,Region,CustomerType,Category,Product,Quantity,UnitPrice,Discount,Returned
1060,2024-03-04,South,Corporate,Office Supplies,Paper Ream A4,25,6.5,0.15,No
1061,2024-03-05,East,Consumer,Technology,4K Monitor,1,320.0,0.05,No
1062,2024-03-06,West,Home Office,Furniture,Desk Lamp,2,28.0,0.0,No
1063,2024-03-07,Central,Corporate,Office Supplies,Gel Pens 12-Pack,8,12.0,0.0,Yes
1064,2024-03-08,South,Consumer,Technology,Wireless Mouse,5,25.5,0.0,No
1065,2024-03-09,East,Home Office,Furniture,Office Sofa,1,650.0,0.25,No
1066,2024-03-10,West,Corporate,Office Supplies,Scissors Set,6,7.5,0.0,No
1067,2024-03-11,Central,Consumer,Technology,Bluetooth Speaker,2,45.0,0.0,No
1068,2024-03-12,South,Home Office,Furniture,Standing Desk,1,450.0,0.0,No
1069,2024-03-13,East,Corporate,Office Supplies,Notebook Binder,10,5.5,0.05,No
1070,2024-03-14,West,Consumer,Technology,USB-C Hub,3,35.0,0.0,No
1071,2024-03-15,Central,Home Office,Furniture,Ergonomic Chair,1,250.0,0.0,No
1072,2024-03-16,South,Corporate,Office Supplies,Mechanical Pencil Set,7,8.0,0.0,No
1073,2024-03-17,East,Consumer,Technology,Noise-Cancel Headphones,1,199.99,0.05,No
1074,2024-03-18,West,Home Office,Furniture,Bookshelf 4-Tier,1,110.0,0.0,No
1075,2024-03-19,Central,Corporate,Office Supplies,Paper Ream A4,18,6.5,0.1,No
1076,2024-03-20,South,Consumer,Technology,External SSD 1TB,2,110.0,0.0,Yes
1077,2024-03-21,East,Home Office,Furniture,Filing Cabinet,1,180.0,0.0,No
1078,2024-03-22,West,Corporate,Office Supplies,Gel Pens 12-Pack,4,12.0,0.0,No
1079,2024-03-23,Central,Consumer,Technology,Webcam 1080p,3,60.0,0.05,No
1080,2024-03-24,South,Home Office,Furniture,Desk Lamp,1,28.0,0.0,No
1081,2024-03-25,East,Corporate,Office Supplies,Stapler Heavy Duty,2,18.5,0.0,No
1082,2024-03-26,West,Consumer,Technology,4K Monitor,1,320.0,0.1,No
1083,2024-03-27,Central,Home Office,Furniture,Standing Desk,1,450.0,0.05,No
1084,2024-03-28,South,Corporate,Office Supplies,Sticky Notes Pack,10,3.2,0.0,No
1085,2024-03-29,East,Consumer,Technology,Wireless Mouse,4,25.5,0.0,No
1086,2024-03-30,West,Home Office,Furniture,Ergonomic Chair,1,250.0,0.0,No
1087,2024-03-31,Central,Corporate,Office Supplies,Scissors Set,5,7.5,0.0,No
1088,2024-04-01,South,Consumer,Technology,Bluetooth Speaker,2,45.0,0.0,No
1089,2024-04-02,East,Home Office,Furniture,Office Sofa,1,650.0,0.2,Yes
1090,2024-04-03,West,Corporate,Office Supplies,Notebook Binder,8,5.5,0.0,No
1091,2024-04-04,Central,Consumer,Technology,USB-C Hub,2,35.0,0.0,No
1092,2024-04-05,South,Home Office,Furniture,Bookshelf 4-Tier,1,110.0,0.0,No
1093,2024-04-06,East,Corporate,Office Supplies,Paper Ream A4,14,6.5,0.05,No
1094,2024-04-07,West,Consumer,Technology,Noise-Cancel Headphones,1,199.99,0.0,No
1095,2024-04-08,Central,Home Office,Furniture,Desk Lamp,3,28.0,0.0,No
1096,2024-04-09,South,Corporate,Office Supplies,Mechanical Pencil Set,6,8.0,0.0,No
1097,2024-04-10,East,Consumer,Technology,External SSD 1TB,1,110.0,0.0,No
1098,2024-04-11,West,Home Office,Furniture,Filing Cabinet,2,180.0,0.05,No
1099,2024-04-12,Central,Corporate,Office Supplies,Gel Pens 12-Pack,5,12.0,0.0,No
1100,2024-04-13,South,Consumer,Technology,Webcam 1080p,1,60.0,0.0,No
1101,2024-04-14,East,Corporate,Technology,,2,25.5,0.0,No
1102,2024-04-15,West,,Office Supplies,Paper Ream A4,10,6.5,0.0,No
1103,2024-04-16,Central,Consumer,,Ergonomic Chair,1,250.0,,No
1104,2024-04-17,,Home Office,Technology,USB-C Hub,3,,0.0,Yes
1105,2024-04-18,South,Corporate,Office Supplies,Gel Pens 12-Pack,,12.0,0.0,No
1106,2024-04-19,  east ,corporate,technology,wireless mouse,4,25.5,0.0,no
1107,2024-04-20,WEST,Consumer,OFFICE SUPPLIES,Paper Ream A4,5,6.5,0.1,NO
1108,2024-04-21,Central,HOME OFFICE,furniture,Ergonomic Chair ,1,250.0,0.05,YES
1109,2024-04-22,south,Consumer,Technology, Bluetooth Speaker,2,45.0,0.0,no
1110,2024-04-23,East,Corporate,Office Supplies,Notebook Binder,6,5.5,0.0,N/A
1111,04/24/2024,West,Consumer,Technology,4K Monitor,1,320.0,0.0,No
1112,2024.04.25,Central,Corporate,Furniture,Desk Lamp,2,28.0,0.0,No
1113,"Apr 26, 2024",South,Home Office,Office Supplies,Stapler Heavy Duty,1,18.5,0.0,No
1114,2024-04-27,East,Consumer,Technology,Webcam 1080p,-5,60.0,0.0,No
1115,2024-04-28,West,Corporate,Furniture,Standing Desk,1,-450.0,0.0,No
1116,2024-04-29,Central,Home Office,Technology,External SSD 1TB,2,99999.0,0.0,No
1117,2024-04-30,South,Consumer,Office Supplies,Scissors Set,3,7.5,2.5,No
1001,2024-01-05,East,Corporate,Technology,Wireless Mouse,4,25.5,0.0,No
1001,2024-01-05,East,Corporate,Technology,Wireless Mouse,4,25.5,0.0,No
1010,2024-01-14,West,Corporate,Furniture,Desk Lamp,2,28.0,0.0,No
1118,2024-05-01,East,Corporate,Technology,Wireless Mouse,4,$25.50,0%,No
1119,2024-05-02,West,Consumer,Office Supplies,Gel Pens 12-Pack,10,$12.00,10%,No
1120,2024-05-03,Central,Home Office,Furniture,Ergonomic Chair,1,$250.00,5%,Yes
1121,2024-05-04,South,Corporate,Technology,USB-C Hub,3,$35.00,0%,No
1122,2024-05-05,East,Consumer,Office Supplies,Sticky Notes Pack,15,$3.20,0%,No
